Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,,
2019-09-10,18:30 (11:30),WCQ,Second round,Tue,Away,W,3,0,kw Kuwait,,,,"11,852",Mathew Leckie,4-1-4-1,Taqi Aljaafari Jahari,,
2019-10-10,20:00 (05:00),WCQ,Second round,Thu,Home,W,5,0,np Nepal,,,,"18,563",Mark Milligan,4-1-4-1,Thoriq Munir Alkatiri,,
2019-10-15,19:40 (07:40),WCQ,Second round,Tue,Away,W,7,1,tw Chinese Taipei,,,,"3,251",Mathew Ryan,4-1-4-1,Mongkolchai Pechsri,,
2019-11-14,18:00 (11:00),WCQ,Second round,Thu,Away,W,1,0,jo Jordan,,,,"9,712",Mathew Ryan,4-2-3-1,Fu Ming,,
2021-06-03,22:00 (15:00),WCQ,Second round,Thu,Home,W,3,0,kw Kuwait,,,,,Mathew Leckie,4-2-3-1,Jumpei Iida,,
2021-06-07,22:00 (15:00),WCQ,Second round,Mon,Home,W,5,1,tw Chinese Taipei,,,,,Trent Sainsbury,4-2-2-2,Saoud Ali Al Adba,,
2021-06-11,19:00 (12:00),WCQ,Second round,Fri,Away,W,3,0,np Nepal,,,,,Mathew Leckie,4-2-2-2,Ahmed Al Kaf,,
2021-06-15,19:00 (12:00),WCQ,Second round,Tue,Home,W,1,0,jo Jordan,,,,,Mathew Ryan,4-4-2,Kim Woosung,,
2021-09-02,21:00 (14:00),WCQ,Third round,Thu,Home,W,3,0,cn China PR,,,,,Mathew Ryan,4-2-3-1,Ko Hyungjin,,
2021-09-07,19:00 (08:00),WCQ,Third round,Tue,Away,W,1,0,vn Vietnam,,,,,Mathew Ryan,4-2-3-1,Abdelrahman Al Jassim,,
2021-10-07,21:30 (14:30),WCQ,Third round,Thu,Home,W,3,1,om Oman,,,,,Mathew Ryan,4-2-3-1,Nawaf Shukralla,,
2021-10-12,19:14 (06:14),WCQ,Third round,Tue,Away,L,1,2,jp Japan,,,,"14,437",Mathew Ryan,4-3-1-2,Abdulrahman Ibrahim Al Jassim,,
2021-11-11,20:10 (04:10),WCQ,Third round,Thu,Home,D,0,0,sa Saudi Arabia,,,,"23,314",Mathew Ryan,4-2-3-1,Ko Hyungjin,,
2021-11-16,19:00 (10:00),WCQ,Third round,Tue,Away,D,1,1,cn China PR,,,,"1,050",Mathew Ryan,4-1-4-1,Adham Makhadmeh,,
2022-01-27,20:10 (04:10),WCQ,Third round,Thu,Home,W,4,0,vn Vietnam,,,,"27,740",Mathew Ryan,4-2-3-1,Ko Hyungjin,,
2022-02-01,20:00 (11:00),WCQ,Third round,Tue,Away,D,2,2,om Oman,,,,,Mathew Ryan,4-2-3-1,Mohammed Abdulla Hassan,,
2022-03-24,20:10 (05:10),WCQ,Third round,Thu,Home,L,0,2,jp Japan,,,,"41,852",Mathew Ryan,4-2-3-1,Nawaf Shukralla,,
2022-03-29,21:00 (14:00),WCQ,Third round,Tue,Away,L,0,1,sa Saudi Arabia,,,,"51,433",Mathew Ryan,4-2-2-2,Adham Makhadmeh,,
2022-06-01,21:00 (14:00),Friendlies (M),Friendlies (M),Wed,Neutral,W,2,1,jo Jordan,,,,,Mathew Ryan,4-2-3-1,Saad Khalefah,,
2022-06-07,21:00 (14:00),WCQ,Fourth round,Tue,Neutral,W,2,1,ae UAE,,,,"6,500",Mathew Ryan,4-2-3-1,Ilgiz Tantashev,,
