Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee
2021-03-24,20:45 (15:45),WCQ,First round,Wed,Away,L,0,1,si Slovenia,,,69,,Luka Modrić,4-2-3-1,Antonio Matéu Lahoz
2021-03-27,18:00 (13:00),WCQ,First round,Sat,Home,W,1,0,cy Cyprus,,,69,,Luka Modrić,4-1-4-1,Kristo Tohver
2021-03-30,20:45 (14:45),WCQ,First round,Tue,Home,W,3,0,mt Malta,,,67,,Domagoj Vida,4-2-3-1,Lionel Tschudi
2021-09-01,21:45 (14:45),WCQ,First round,Wed,Away,D,0,0,ru Russia,,,60,"18,708",Ivan Perišić,4-2-3-1,Roi Reinshreiber
2021-09-04,20:45 (14:45),WCQ,First round,Sat,Away,W,1,0,sk Slovakia,,,55,"9,047",Domagoj Vida,4-1-4-1,Bartosz Frankowski
2021-09-07,20:45 (14:45),WCQ,First round,Tue,Home,W,3,0,si Slovenia,,,64,"16,237",Ivan Perišić,4-2-3-1,Clément Turpin
2021-10-08,21:45 (14:45),WCQ,First round,Fri,Away,W,3,0,cy Cyprus,,,75,"2,333",Luka Modrić,4-1-4-1,Michael Oliver
2021-10-11,20:45 (14:45),WCQ,First round,Mon,Home,D,2,2,sk Slovakia,,,69,"9,926",Luka Modrić,4-1-4-1,Ovidiu Hațegan
2021-11-11,20:45 (14:45),WCQ,First round,Thu,Away,W,7,1,mt Malta,,,67,"4,581",Luka Modrić,4-3-3,Deniz Aytekin
2021-11-14,15:00 (09:00),WCQ,First round,Sun,Home,W,1,0,ru Russia,,,68,"30,257",Luka Modrić,4-3-3,Danny Makkelie
2022-03-26,17:00 (10:00),Friendlies (M),Friendlies (M),Sat,Neutral,D,1,1,si Slovenia,,,,,Luka Modrić,3-5-2,Abdullah Jamali
2022-03-29,17:00 (10:00),Friendlies (M),Friendlies (M),Tue,Neutral,W,2,1,bg Bulgaria,,,,,Domagoj Vida,3-1-4-2,Khamis Mohammed Al Marri
2022-06-03,20:45 (14:45),UEFA Nations League,League A,Fri,Home,L,0,3,at Austria,,,61,"13,994",Mateo Kovačić,4-1-4-1,Chris Kavanagh
2022-06-06,20:45 (14:45),UEFA Nations League,League A,Mon,Home,D,1,1,fr France,,,49,"33,869",Luka Modrić,4-1-4-1,Marco Guida
2022-06-10,20:45 (14:45),UEFA Nations League,League A,Fri,Away,W,1,0,dk Denmark,,,51,"35,862",Marcelo Brozović,4-2-3-1,Bartosz Frankowski
2022-06-13,20:45 (14:45),UEFA Nations League,League A,Mon,Away,W,1,0,fr France,,,46,"774,100",Luka Modrić,4-3-3,Orel Grinfeeld
2022-09-22,20:45 (14:45),UEFA Nations League,League A,Thu,Home,W,2,1,dk Denmark,,,49,"22,715",Luka Modrić,4-3-3,Davide Massa
2022-09-25,20:45 (14:45),UEFA Nations League,League A,Sun,Away,W,3,1,at Austria,,,54,"45,700",Luka Modrić,4-3-3,Artur Dias
2022-11-16,15:00 (07:00),Friendlies (M),Friendlies (M),Wed,Neutral,W,1,0,sa Saudi Arabia,,,,"8,287",Dejan Lovren,4-1-4-1,Adham Makhadmeh
2022-11-23,13:00 (05:00),World Cup,Group stage,Wed,Neutral,D,0,0,ma Morocco,0.5,0.4,64,"59,407",Luka Modrić,4-3-3,Fernando Rapallini
2022-11-27,19:00 (11:00),World Cup,Group stage,Sun,Neutral,W,4,1,ca Canada,2.6,0.4,49,"44,374",Luka Modrić,4-3-3,Andrés Matonte
