Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2021-03-25,19:45 (15:45),WCQ,First round,Thu,Home,W,5,0,sm San Marino,,,85,,Raheem Sterling,4-2-3-1,Kirill Levnikov,Match Report,
2021-03-28,18:00 (12:00),WCQ,First round,Sun,Away,W,2,0,al Albania,,,71,200,Harry Kane,4-3-3,Orel Grinfeeld,Match Report,
2021-03-31,19:45 (14:45),WCQ,First round,Wed,Home,W,2,1,pl Poland,,,63,,Harry Kane,4-3-3,Björn Kuipers,Match Report,
2021-09-02,20:45 (14:45),WCQ,First round,Thu,Away,W,4,0,hu Hungary,,,64,"58,260",Harry Kane,4-2-3-1,Cüneyt Çakιr,Match Report,
2021-09-05,17:00 (12:00),WCQ,First round,Sun,Home,W,4,0,ad Andorra,,,88,"67,171",Jordan Henderson,4-3-3,Anastasios Papapetrou,Match Report,
2021-09-08,20:45 (14:45),WCQ,First round,Wed,Away,D,1,1,pl Poland,,,63,"56,212",Harry Kane,4-2-3-1,Daniel Siebert,Match Report,
2021-10-09,20:45 (14:45),WCQ,First round,Sat,Away,W,5,0,ad Andorra,,,86,"2,285",Kieran Trippier,4-3-3,Kateryna Monzul,Match Report,
2021-10-12,19:45 (14:45),WCQ,First round,Tue,Home,D,1,1,hu Hungary,,,64,"69,380",Harry Kane,4-3-3,Alejandro Hernández,Match Report,
2021-11-12,19:45 (14:45),WCQ,First round,Fri,Home,W,5,0,al Albania,,,64,"80,366",Harry Kane,3-4-3,Ruddy Buquet,Match Report,
2021-11-15,20:45 (14:45),WCQ,First round,Mon,Away,W,10,0,sm San Marino,,,85,,Harry Kane,4-3-3,Rade Obrenović,Match Report,
2022-03-26,17:30 (13:30),Friendlies (M),Friendlies (M),Sat,Neutral,W,2,1,ch Switzerland,,,,,Harry Kane,3-4-3,Andreas Ekberg,Match Report,
2022-03-29,19:45 (14:45),Friendlies (M),Friendlies (M),Tue,Neutral,W,3,0,ci Côte d'Ivoire,,,,,Raheem Sterling,4-2-3-1,Erik Lambrechts,Match Report,
2022-06-04,18:00 (12:00),UEFA Nations League,League A,Sat,Away,L,0,1,hu Hungary,,,58,"26,935",Harry Kane,3-4-3,Artur Dias,Match Report,
2022-06-07,20:45 (14:45),UEFA Nations League,League A,Tue,Away,D,1,1,de Germany,,,37,"66,289",Harry Kane,4-2-3-1,Carlos del Cerro,Match Report,
2022-06-11,19:45 (14:45),UEFA Nations League,League A,Sat,Home,D,0,0,it Italy,,,59,"1,782",Tammy Abraham,4-2-3-1,Szymon Marciniak,Match Report,
2022-06-14,19:45 (14:45),UEFA Nations League,League A,Tue,Home,L,0,4,hu Hungary,,,69,"28,839",Harry Kane,4-3-3,Clément Turpin,Match Report,
2022-09-23,20:45 (14:45),UEFA Nations League,League A,Fri,Away,L,0,1,it Italy,,,56,"50,640",Harry Kane,4-2-3-1,Jesús Gil,Match Report,
2022-09-26,19:45 (14:45),UEFA Nations League,League A,Mon,Home,D,3,3,de Germany,,,41,"78,949",Harry Kane,3-4-3,Danny Makkelie,Match Report,
2022-11-21,16:00 (08:00),World Cup,Group stage,Mon,Neutral,W,6,2,ir IR Iran,2.1,1.4,77,"45,334",Harry Kane,4-2-3-1,Raphael Claus,Match Report,
2022-11-25,22:00 (14:00),World Cup,Group stage,Fri,Neutral,D,0,0,us United States,0.8,0.6,55,"68,463",Harry Kane,4-2-3-1,Jesús Valenzuela,Match Report,
2022-11-29,22:00 (14:00),World Cup,Group stage,Tue,Neutral,W,3,0,wls Wales,2.4,0.3,64,"44,297",Harry Kane,4-3-3,Slavko Vinčič,Match Report,
2019-03-22,19:45 (15:45),UEFA Euro Qualifying,Group stage,Fri,Home,W,5,0,cz Czech Republic,,,66,"82,575",Harry Kane,4-3-3,Artur Dias,Match Report,
2019-03-25,20:45 (15:45),UEFA Euro Qualifying,Group stage,Mon,Away,W,5,1,me Montenegro,,,73,"8,329",Harry Kane,4-3-3,Aliaksei Kulbakou,Match Report,
2019-09-07,17:00 (12:00),UEFA Euro Qualifying,Group stage,Sat,Home,W,4,0,bg Bulgaria,,,68,"82,605",Harry Kane,4-3-1-2,Marco Guida,Match Report,
2019-09-10,19:45 (14:45),UEFA Euro Qualifying,Group stage,Tue,Home,W,5,3,xk Kosovo,,,58,"30,155",Harry Kane,4-2-3-1,Felix Zwayer,Match Report,
2019-10-11,20:45 (14:45),UEFA Euro Qualifying,Group stage,Fri,Away,L,1,2,cz Czech Republic,,,56,"18,651",Harry Kane,4-2-3-1,Damir Skomina,Match Report,
2019-10-14,21:45 (14:45),UEFA Euro Qualifying,Group stage,Mon,Away,W,6,0,bg Bulgaria,,,72,"17,481",Harry Kane,4-3-3,Ivan Bebek,Match Report,
2019-11-14,19:45 (14:45),UEFA Euro Qualifying,Group stage,Thu,Home,W,7,0,me Montenegro,,,66,"77,277",Harry Kane,4-3-3,Antonio Matéu Lahoz,Match Report,
2019-11-17,18:00 (12:00),UEFA Euro Qualifying,Group stage,Sun,Away,W,4,0,xk Kosovo,,,55,"12,326",Harry Kane,4-3-3,Paweł Gil,Match Report,
2021-03-25,19:45 (15:45),WCQ,First round,Thu,Home,W,5,0,sm San Marino,,,85,,Raheem Sterling,4-2-3-1,Kirill Levnikov,Match Report,
2021-03-28,18:00 (12:00),WCQ,First round,Sun,Away,W,2,0,al Albania,,,71,200,Harry Kane,4-3-3,Orel Grinfeeld,Match Report,
2021-03-31,19:45 (14:45),WCQ,First round,Wed,Home,W,2,1,pl Poland,,,63,,Harry Kane,4-3-3,Björn Kuipers,Match Report,
2021-06-02,20:00 (15:00),Friendlies (M),Friendlies (M),Wed,Home,W,1,0,at Austria,,,,,Harry Kane,4-1-4-1,Lawrence Visser,Match Report,
2021-06-06,17:00 (12:00),Friendlies (M),Friendlies (M),Sun,Home,W,1,0,ro Romania,,,,,Marcus Rashford,4-1-4-1,Tiago Martins,Match Report,
2021-06-13,14:00 (09:00),UEFA Euro,Group stage,Sun,Neutral,W,1,0,hr Croatia,1.5,0.4,49,"18,497",Harry Kane,4-3-3,Daniele Orsato,Match Report,
2021-06-18,20:00 (15:00),UEFA Euro,Group stage,Fri,Neutral,D,0,0,sct Scotland,1.4,0.6,60,"20,306",Harry Kane,4-3-3,Antonio Matéu Lahoz,Match Report,
2021-06-22,20:00 (15:00),UEFA Euro,Group stage,Tue,Neutral,W,1,0,cz Czech Republic,1.5,0.3,56,"19,104",Harry Kane,4-2-3-1,Artur Soares Dias,Match Report,
2021-06-29,17:00 (12:00),UEFA Euro,Round of 16,Tue,Neutral,W,2,0,de Germany,1.3,1.4,46,"41,973",Harry Kane,3-4-3,Danny Makkelie,Match Report,
2021-07-03,21:00 (15:00),UEFA Euro,Quarter-finals,Sat,Away,W,4,0,ua Ukraine,2.0,0.3,52,"11,880",Harry Kane,4-2-3-1,Felix Brych,Match Report,
2021-07-07,20:00 (15:00),UEFA Euro,Semi-finals,Wed,Home,W,2,1,dk Denmark,2.7,0.2,58,"64,950",Harry Kane,4-2-3-1,Danny Makkelie,Match Report,Required Extra Time
2021-07-11,20:00 (15:00),UEFA Euro,Final,Sun,Neutral,D,1 (2),1 (3),it Italy,0.6,2.2,35,"67,173",Harry Kane,3-4-3,Björn Kuipers,Match Report,Italy won on penalty kicks following extra time
2021-09-02,20:45 (14:45),WCQ,First round,Thu,Away,W,4,0,hu Hungary,,,64,"58,260",Harry Kane,4-2-3-1,Cüneyt Çakιr,Match Report,
2021-09-05,17:00 (12:00),WCQ,First round,Sun,Home,W,4,0,ad Andorra,,,88,"67,171",Jordan Henderson,4-3-3,Anastasios Papapetrou,Match Report,
2021-09-08,20:45 (14:45),WCQ,First round,Wed,Away,D,1,1,pl Poland,,,63,"56,212",Harry Kane,4-2-3-1,Daniel Siebert,Match Report,
2021-10-09,20:45 (14:45),WCQ,First round,Sat,Away,W,5,0,ad Andorra,,,86,"2,285",Kieran Trippier,4-3-3,Kateryna Monzul,Match Report,
2021-10-12,19:45 (14:45),WCQ,First round,Tue,Home,D,1,1,hu Hungary,,,64,"69,380",Harry Kane,4-3-3,Alejandro Hernández,Match Report,
2021-11-12,19:45 (14:45),WCQ,First round,Fri,Home,W,5,0,al Albania,,,64,"80,366",Harry Kane,3-4-3,Ruddy Buquet,Match Report,
2021-11-15,20:45 (14:45),WCQ,First round,Mon,Away,W,10,0,sm San Marino,,,85,,Harry Kane,4-3-3,Rade Obrenović,Match Report,
2020-09-05,16:00 (12:00),UEFA Nations League,League A,Sat,Away,W,1,0,is Iceland,,,78,,Harry Kane,5-3-2,Srđan Jovanović,Match Report,
2020-09-08,20:45 (14:45),UEFA Nations League,League A,Tue,Away,D,0,0,dk Denmark,,,54,,Harry Kane,4-3-3,István Kovács,Match Report,
2020-10-08,20:00 (15:00),Friendlies (M),Friendlies (M),Thu,Home,W,3,0,wls Wales,,,,,Kieran Trippier,3-4-3,Bobby Madden,Match Report,
2020-10-11,17:00 (12:00),UEFA Nations League,League A,Sun,Home,W,2,1,be Belgium,,,47,,Jordan Henderson,3-4-3,Tobias Stieler,Match Report,
2020-10-14,19:45 (14:45),UEFA Nations League,League A,Wed,Home,L,0,1,dk Denmark,,,44,,Harry Kane,5-3-2,Jesús Gil,Match Report,
2020-11-12,20:00 (15:00),Friendlies (M),Friendlies (M),Thu,Home,W,3,0,ie Rep. of Ireland,,,,,Harry Maguire,3-4-3,Carlos del Cerro,Match Report,
2020-11-15,20:45 (14:45),UEFA Nations League,League A,Sun,Away,L,0,2,be Belgium,,,55,,Harry Kane,3-4-3,Danny Makkelie,Match Report,
2020-11-18,19:45 (14:45),UEFA Nations League,League A,Wed,Home,W,4,0,is Iceland,,,78,,Harry Kane,3-5-2,Fábio Veríssimo,Match Report,
2021-03-25,19:45 (15:45),WCQ,First round,Thu,Home,W,5,0,sm San Marino,,,85,,Raheem Sterling,4-2-3-1,Kirill Levnikov,Match Report,
2021-03-28,18:00 (12:00),WCQ,First round,Sun,Away,W,2,0,al Albania,,,71,200,Harry Kane,4-3-3,Orel Grinfeeld,Match Report,
2021-03-31,19:45 (14:45),WCQ,First round,Wed,Home,W,2,1,pl Poland,,,63,,Harry Kane,4-3-3,Björn Kuipers,Match Report,
2021-06-02,20:00 (15:00),Friendlies (M),Friendlies (M),Wed,Home,W,1,0,at Austria,,,,,Harry Kane,4-1-4-1,Lawrence Visser,Match Report,
2021-06-06,17:00 (12:00),Friendlies (M),Friendlies (M),Sun,Home,W,1,0,ro Romania,,,,,Marcus Rashford,4-1-4-1,Tiago Martins,Match Report,
2021-06-13,14:00 (09:00),UEFA Euro,Group stage,Sun,Neutral,W,1,0,hr Croatia,,,49,"18,497",Harry Kane,4-3-3,Daniele Orsato,Match Report,
2021-06-18,20:00 (15:00),UEFA Euro,Group stage,Fri,Neutral,D,0,0,sct Scotland,,,60,"20,306",Harry Kane,4-3-3,Antonio Matéu Lahoz,Match Report,
2021-06-22,20:00 (15:00),UEFA Euro,Group stage,Tue,Neutral,W,1,0,cz Czech Republic,,,56,"19,104",Harry Kane,4-2-3-1,Artur Soares Dias,Match Report,
