Date,Time,Comp,Round,Day,Venue,Result,Team,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2022-06-04,20:45 (14:45),UEFA Nations League,League A,Sat,Home,D,,1,1,de Germany,,,33,"23,754",Alessandro Florenzi,4-3-3,Srdjan Stojanovic,Match Report,
2022-06-07,20:45 (14:45),UEFA Nations League,League A,Tue,Home,W,,2,1,hu Hungary,,,56,"14,942",Gianluigi Donnarumma,4-3-3,Sandro Schärer,Match Report,
2022-06-11,19:45 (14:45),UEFA Nations League,League A,Sat,Away,D,,0,0,eng England,,,41,"1,782",Gianluigi Donnarumma,4-3-3,Szymon Marciniak,Match Report,
2022-06-14,20:45 (14:45),UEFA Nations League,League A,Tue,Away,L,,2,5,de Germany,,,35,"44,144",Gianluigi Donnarumma,4-3-3,István Kovács,Match Report,
2022-09-23,20:45 (14:45),UEFA Nations League,League A,Fri,Home,W,,1,0,eng England,,,44,"50,640",Leonardo Bonucci,3-5-2,Jesús Gil,Match Report,
2022-09-26,20:45 (14:45),UEFA Nations League,League A,Mon,Away,W,,2,0,hu Hungary,,,47,"57,300",Leonardo Bonucci,,Benoît Bastien,Match Report,
2022-11-16,20:45 (14:45),Friendlies (M),Friendlies (M),Wed,Neutral,W,,3,1,al Albania,,,,,Leonardo Bonucci,3-4-3,Genc Nuza,Match Report,
2022-11-20,20:45 (14:45),Friendlies (M),Friendlies (M),Sun,Neutral,L,,0,2,at Austria,,,,,Leonardo Bonucci,3-4-3,Christian Dingert,Match Report,
2021-03-25,20:45 (15:45),WCQ,First round,Thu,Home,W,,2,0,nir Northern Ireland,,,66,,Giorgio Chiellini,4-3-3,Ali Palabıyık,Match Report,
2021-03-28,21:45 (14:45),WCQ,First round,Sun,Away,W,,2,0,bg Bulgaria,,,68,,Leonardo Bonucci,4-3-3,Slavko Vinčič,Match Report,
2021-03-31,21:45 (14:45),WCQ,First round,Wed,Away,W,,2,0,lt Lithuania,,,66,,Ciro Immobile,4-3-3,Paweł Raczkowski,Match Report,
2021-09-02,20:45 (14:45),WCQ,First round,Thu,Home,D,,1,1,bg Bulgaria,,,79,"14,366",Leonardo Bonucci,4-3-3,Serdar Gözübüyük,Match Report,
2021-09-05,20:45 (14:45),WCQ,First round,Sun,Away,D,,0,0,ch Switzerland,,,52,"31,500",Giorgio Chiellini,4-3-3,Carlos del Cerro,Match Report,
2021-09-08,20:45 (14:45),WCQ,First round,Wed,Home,W,,5,0,lt Lithuania,,,72,"10,578",Jorginho,4-3-3,Craig Pawson,Match Report,
2021-11-12,20:45 (14:45),WCQ,First round,Fri,Home,D,,1,1,ch Switzerland,,,64,"45,699",Leonardo Bonucci,4-3-3,Anthony Taylor,Match Report,
2021-11-15,19:45 (14:45),WCQ,First round,Mon,Away,D,,0,0,nir Northern Ireland,,,71,,Leonardo Bonucci,4-3-3,István Kovács,Match Report,
2022-03-24,20:45 (15:45),WCQ,Semi-finals,Thu,Home,L,,0,1,mk N. Macedonia,,,66,"34,129",Ciro Immobile,4-3-3,Clément Turpin,Match Report,
2022-03-29,21:45 (14:45),Friendlies (M),Friendlies (M),Tue,Neutral,W,,3,2,tr Türkiye,,,,,Giorgio Chiellini,4-3-3,Enea Jorgji,Match Report,
2022-06-04,20:45 (14:45),UEFA Nations League,League A,Sat,Home,D,,1,1,de Germany,,,33,"23,754",Alessandro Florenzi,4-3-3,Srdjan Stojanovic,Match Report,
2022-06-07,20:45 (14:45),UEFA Nations League,League A,Tue,Home,W,,2,1,hu Hungary,,,56,"14,942",Gianluigi Donnarumma,4-3-3,Sandro Schärer,Match Report,
2022-06-11,19:45 (14:45),UEFA Nations League,League A,Sat,Away,D,,0,0,eng England,,,41,"1,782",Gianluigi Donnarumma,4-3-3,Szymon Marciniak,Match Report,
2022-06-14,20:45 (14:45),UEFA Nations League,League A,Tue,Away,L,,2,5,de Germany,,,35,"44,144",Gianluigi Donnarumma,4-3-3,István Kovács,Match Report,
