Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee
2021-03-24,20:00 (13:00),WCQ,First round,Wed,Away,L,2,4,tr Türkiye,,,66,,Georginio Wijnaldum,4-3-3,Michael Oliver
2021-03-27,18:00 (13:00),WCQ,First round,Sat,Home,W,2,0,lv Latvia,,,77,"5,000",Georginio Wijnaldum,4-3-3,Stéphanie Frappart
2021-03-30,20:45 (14:45),WCQ,First round,Tue,Away,W,7,0,gi Gibraltar,,,80,335,Georginio Wijnaldum,4-3-3,João Pinheiro
2021-09-01,20:45 (14:45),WCQ,First round,Wed,Away,D,1,1,no Norway,,,65,"6,711",Virgil van Dijk,4-3-3,Szymon Marciniak
2021-09-04,20:45 (14:45),WCQ,First round,Sat,Home,W,4,0,me Montenegro,,,72,"20,458",Georginio Wijnaldum,4-3-3,Jesús Gil
2021-09-07,20:45 (14:45),WCQ,First round,Tue,Home,W,6,1,tr Türkiye,,,67,"31,389",Virgil van Dijk,4-3-3,Daniele Orsato
2021-10-08,21:45 (14:45),WCQ,First round,Fri,Away,W,1,0,lv Latvia,,,78,"4,711",Virgil van Dijk,4-3-3,Andy Madley
2021-10-11,20:45 (14:45),WCQ,First round,Mon,Home,W,6,0,gi Gibraltar,,,82,"31,583",Virgil van Dijk,4-3-3,Vitaly Meshkov
2021-11-13,20:45 (14:45),WCQ,First round,Sat,Away,D,2,2,me Montenegro,,,74,"1,844",Virgil van Dijk,4-3-3,Carlos del Cerro
2021-11-16,20:45 (14:45),WCQ,First round,Tue,Home,W,2,0,no Norway,,,65,,Virgil van Dijk,4-3-3,Clément Turpin
2022-03-26,20:45 (15:45),Friendlies (M),Friendlies (M),Sat,Neutral,W,4,2,dk Denmark,,,,,Virgil van Dijk,3-4-1-2,Lawrence Visser
2022-03-29,20:45 (14:45),Friendlies (M),Friendlies (M),Tue,Neutral,D,1,1,de Germany,,,,"50,387",Virgil van Dijk,3-4-1-2,Craig Pawson
2022-06-03,20:45 (14:45),UEFA Nations League,League A,Fri,Away,W,4,1,be Belgium,,,50,"38,327",Virgil van Dijk,3-4-1-2,José Sánchez
2022-06-08,19:45 (14:45),UEFA Nations League,League A,Wed,Away,W,2,1,wls Wales,,,56,"23,395",Stefan de Vrij,3-4-3,Glenn Nyberg
2022-06-11,20:45 (14:45),UEFA Nations League,League A,Sat,Home,D,2,2,pl Poland,,,68,"39,382",Memphis,3-5-2,Halil Umut Meler
2022-06-14,20:45 (14:45),UEFA Nations League,League A,Tue,Home,W,3,2,wls Wales,,,60,"32,247",Matthijs de Ligt,3-4-3,Horațiu Fesnic
2022-09-22,20:45 (14:45),UEFA Nations League,League A,Thu,Away,W,2,0,pl Poland,,,59,"56,673",Virgil van Dijk,3-4-1-2,Alejandro Hernández
2022-09-25,20:45 (14:45),UEFA Nations League,League A,Sun,Home,W,1,0,be Belgium,,,46,"52,314",Virgil van Dijk,3-4-1-2,Anthony Taylor
2022-11-21,19:00 (11:00),World Cup,Group stage,Mon,Neutral,W,2,0,sn Senegal,0.7,0.9,54,"41,721",Virgil van Dijk,3-4-1-2,Wilton Sampaio
2022-11-25,19:00 (11:00),World Cup,Group stage,Fri,Neutral,D,1,1,ec Ecuador,0.1,1.7,54,"44,833",Virgil van Dijk,3-4-1-2,Mustapha Ghorbal
2022-11-29,18:00 (10:00),World Cup,Group stage,Tue,Neutral,W,2,0,qa Qatar,1.6,0.1,63,"66,784",Virgil van Dijk,3-4-1-2,Bakary Papa Gassama
2019-03-21,20:45 (15:45),UEFA Euro Qualifying,Group stage,Thu,Home,W,4,0,by Belarus,,,62,"38,604",Virgil van Dijk,4-3-3,Davide Massa
2019-03-24,20:45 (15:45),UEFA Euro Qualifying,Group stage,Sun,Home,L,2,3,de Germany,,,54,"51,694",Virgil van Dijk,4-3-3,Jesús Gil
2019-09-06,20:45 (14:45),UEFA Euro Qualifying,Group stage,Fri,Away,W,4,2,de Germany,,,51,"51,299",Virgil van Dijk,4-3-3,Artur Dias
2019-09-09,21:45 (14:45),UEFA Euro Qualifying,Group stage,Mon,Away,W,4,0,ee Estonia,,,72,"11,006",Virgil van Dijk,4-3-3,Serhiy Boiko
2019-10-10,20:45 (14:45),UEFA Euro Qualifying,Group stage,Thu,Home,W,3,1,nir Northern Ireland,,,77,"41,348",Virgil van Dijk,4-3-3,Benoît Bastien
2019-10-13,19:00 (12:00),UEFA Euro Qualifying,Group stage,Sun,Away,W,2,1,by Belarus,,,76,"21,639",Virgil van Dijk,4-3-3,Anastasios Sidiropoulos
2019-11-16,19:45 (14:45),UEFA Euro Qualifying,Group stage,Sat,Away,D,0,0,nir Northern Ireland,,,69,"18,404",Virgil van Dijk,4-2-3-1,Szymon Marciniak
2019-11-19,20:45 (14:45),UEFA Euro Qualifying,Group stage,Tue,Home,W,5,0,ee Estonia,,,66,"50,386",Georginio Wijnaldum,4-2-3-1,Davide Massa
2021-03-24,20:00 (13:00),WCQ,First round,Wed,Away,L,2,4,tr Türkiye,,,66,,Georginio Wijnaldum,4-3-3,Michael Oliver
2021-03-27,18:00 (13:00),WCQ,First round,Sat,Home,W,2,0,lv Latvia,,,77,"5,000",Georginio Wijnaldum,4-3-3,Stéphanie Frappart
2021-03-30,20:45 (14:45),WCQ,First round,Tue,Away,W,7,0,gi Gibraltar,,,80,335,Georginio Wijnaldum,4-3-3,João Pinheiro
2021-06-02,20:45 (14:45),Friendlies (M),Friendlies (M),Wed,Home,D,2,2,sct Scotland,,,,,Georginio Wijnaldum,5-3-2,Vitor Ferreira Fernandes
2021-06-06,18:00 (12:00),Friendlies (M),Friendlies (M),Sun,Home,W,3,0,ge Georgia,,,,,Georginio Wijnaldum,5-3-2,Erik Lambrechts
2021-06-13,21:00 (15:00),UEFA Euro,Group stage,Sun,Neutral,W,3,2,ua Ukraine,1.5,0.5,62,"15,837",Georginio Wijnaldum,3-4-1-2,Felix Brych
2021-06-17,21:00 (15:00),UEFA Euro,Group stage,Thu,Neutral,W,2,0,at Austria,3.1,0.7,47,"15,243",Georginio Wijnaldum,3-4-1-2,Orel Grinfeeld
2021-06-21,18:00 (12:00),UEFA Euro,Group stage,Mon,Neutral,W,3,0,mk N. Macedonia,3.1,1.1,58,"15,227",Georginio Wijnaldum,3-4-1-2,István Kovács
2021-06-27,18:00 (12:00),UEFA Euro,Round of 16,Sun,Neutral,L,0,2,cz Czech Republic,0.9,1.6,52,"52,834",Georginio Wijnaldum,3-4-1-2,Sergey Karasev
2021-09-01,20:45 (14:45),WCQ,First round,Wed,Away,D,1,1,no Norway,,,65,"6,711",Virgil van Dijk,4-3-3,Szymon Marciniak
2021-09-04,20:45 (14:45),WCQ,First round,Sat,Home,W,4,0,me Montenegro,,,72,"20,458",Georginio Wijnaldum,4-3-3,Jesús Gil
2021-09-07,20:45 (14:45),WCQ,First round,Tue,Home,W,6,1,tr Türkiye,,,67,"31,389",Virgil van Dijk,4-3-3,Daniele Orsato
2021-10-08,21:45 (14:45),WCQ,First round,Fri,Away,W,1,0,lv Latvia,,,78,"4,711",Virgil van Dijk,4-3-3,Andy Madley
2021-10-11,20:45 (14:45),WCQ,First round,Mon,Home,W,6,0,gi Gibraltar,,,82,"31,583",Virgil van Dijk,4-3-3,Vitaly Meshkov
2021-11-13,20:45 (14:45),WCQ,First round,Sat,Away,D,2,2,me Montenegro,,,74,"1,844",Virgil van Dijk,4-3-3,Carlos del Cerro
2021-11-16,20:45 (14:45),WCQ,First round,Tue,Home,W,2,0,no Norway,,,65,,Virgil van Dijk,4-3-3,Clément Turpin
2020-09-04,20:45 (14:45),UEFA Nations League,League A,Fri,Home,W,1,0,pl Poland,,,64,,Virgil van Dijk,4-3-3,Georgi Kabakov
2020-09-07,20:45 (14:45),UEFA Nations League,League A,Mon,Home,L,0,1,it Italy,,,43,,Virgil van Dijk,4-3-3,Felix Brych
2020-10-07,20:45 (14:45),Friendlies (M),Friendlies (M),Wed,Home,L,0,1,mx Mexico,,,,,Virgil van Dijk,4-3-3,Srđan Jovanović
2020-10-11,18:00 (12:00),UEFA Nations League,League A,Sun,Away,D,0,0,ba Bosnia & Herz'na,,,69,"1,600",Virgil van Dijk,4-3-3,István Kovács
2020-10-14,20:45 (14:45),UEFA Nations League,League A,Wed,Away,D,1,1,it Italy,,,45,623,Virgil van Dijk,4-1-4-1,Anthony Taylor
2020-11-11,20:45 (14:45),Friendlies (M),Friendlies (M),Wed,Home,D,1,1,es Spain,,,,,Georginio Wijnaldum,4-1-4-1,Davide Massa
2020-11-15,18:00 (12:00),UEFA Nations League,League A,Sun,Home,W,3,1,ba Bosnia & Herz'na,,,60,,Georginio Wijnaldum,4-3-3,François Letexier
2020-11-18,20:45 (14:45),UEFA Nations League,League A,Wed,Away,W,2,1,pl Poland,,,54,,Georginio Wijnaldum,4-3-3,Orel Grinfeeld
2021-03-24,20:00 (13:00),WCQ,First round,Wed,Away,L,2,4,tr Türkiye,,,66,,Georginio Wijnaldum,4-3-3,Michael Oliver
2021-03-27,18:00 (13:00),WCQ,First round,Sat,Home,W,2,0,lv Latvia,,,77,"5,000",Georginio Wijnaldum,4-3-3,Stéphanie Frappart
2021-03-30,20:45 (14:45),WCQ,First round,Tue,Away,W,7,0,gi Gibraltar,,,80,335,Georginio Wijnaldum,4-3-3,João Pinheiro
2021-06-02,20:45 (14:45),Friendlies (M),Friendlies (M),Wed,Home,D,2,2,sct Scotland,,,,,Georginio Wijnaldum,5-3-2,Vitor Ferreira Fernandes
2021-06-06,18:00 (12:00),Friendlies (M),Friendlies (M),Sun,Home,W,3,0,ge Georgia,,,,,Georginio Wijnaldum,5-3-2,Erik Lambrechts
2021-06-13,21:00 (15:00),UEFA Euro,Group stage,Sun,Neutral,W,3,2,ua Ukraine,,,62,"15,837",Georginio Wijnaldum,3-4-1-2,Felix Brych
2021-06-17,21:00 (15:00),UEFA Euro,Group stage,Thu,Neutral,W,2,0,at Austria,,,47,"15,243",Georginio Wijnaldum,3-4-1-2,Orel Grinfeeld
2021-06-21,18:00 (12:00),UEFA Euro,Group stage,Mon,Neutral,W,3,0,mk N. Macedonia,,,58,"15,227",Georginio Wijnaldum,3-4-1-2,István Kovács
2021-06-27,18:00 (12:00),UEFA Euro,Round of 16,Sun,Neutral,L,0,2,cz Czech Republic,,,52,"52,834",Georginio Wijnaldum,3-4-1-2,Sergey Karasev
2020-09-04,20:45 (14:45),UEFA Nations League,League A,Fri,Home,W,1,0,pl Poland,,,64,,Virgil van Dijk,4-3-3,Georgi Kabakov
2020-09-07,20:45 (14:45),UEFA Nations League,League A,Mon,Home,L,0,1,it Italy,,,43,,Virgil van Dijk,4-3-3,Felix Brych
