Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee
2021-03-24,19:45 (15:45),WCQ,First round,Wed,Home,W,1,0,az Azerbaijan,,,67,,Cristiano Ronaldo,4-3-3,Daniel Siebert
2021-03-27,20:45 (15:45),WCQ,First round,Sat,Away,D,2,2,rs Serbia,,,56,,Cristiano Ronaldo,4-3-3,Danny Makkelie
2021-03-30,20:45 (14:45),WCQ,First round,Tue,Away,W,3,1,lu Luxembourg,,,57,,Cristiano Ronaldo,4-3-3,Sergey Ivanov
2021-09-01,19:45 (14:45),WCQ,First round,Wed,Home,W,2,1,ie Rep. of Ireland,,,72,"7,831",Cristiano Ronaldo,4-3-3,Matej Jug
2021-09-07,20:00 (12:00),WCQ,First round,Tue,Away,W,3,0,az Azerbaijan,,,67,"20,574",João Moutinho,4-3-3,Marco Guida
2021-10-12,19:45 (14:45),WCQ,First round,Tue,Home,W,5,0,lu Luxembourg,,,55,"18,553",Cristiano Ronaldo,4-3-3,Benoît Bastien
2021-11-11,19:45 (14:45),WCQ,First round,Thu,Away,D,0,0,ie Rep. of Ireland,,,51,"50,737",Cristiano Ronaldo,4-3-3,Jesús Gil
2021-11-14,19:45 (14:45),WCQ,First round,Sun,Home,L,1,2,rs Serbia,,,43,"58,873",Cristiano Ronaldo,4-3-3,Daniele Orsato
2022-03-24,19:45 (15:45),WCQ,Semi-finals,Thu,Home,W,3,1,tr Türkiye,,,60,"48,010",Cristiano Ronaldo,4-3-3,Daniel Siebert
2022-03-29,19:45 (14:45),WCQ,Finals,Tue,Home,W,2,0,mk N. Macedonia,,,64,"48,010",Cristiano Ronaldo,4-3-3,Anthony Taylor
2022-06-02,20:45 (14:45),UEFA Nations League,League A,Thu,Away,D,1,1,es Spain,,,40,"41,236",João Moutinho,4-3-3,Michael Oliver
2022-06-05,19:45 (14:45),UEFA Nations League,League A,Sun,Home,W,4,0,ch Switzerland,,,55,"42,325",Cristiano Ronaldo,4-3-3,Orel Grinfeeld
2022-06-09,19:45 (14:45),UEFA Nations League,League A,Thu,Home,W,2,0,cz Czech Republic,,,63,"44,100",Cristiano Ronaldo,4-3-3,Matej Jug
2022-06-12,20:45 (14:45),UEFA Nations League,League A,Sun,Away,L,0,1,ch Switzerland,,,58,"26,300",Pepe,4-3-3,Fran Jović
2022-09-24,20:45 (14:45),UEFA Nations League,League A,Sat,Away,W,4,0,cz Czech Republic,,,56,"19,322",Cristiano Ronaldo,4-3-3,Srđan Jovanović
