Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2021-09-01,16:00 (12:00),WCQ,Second round,Wed,Home,W,2,0,tg Togo,,,,,Kalidou Koulibaly,4-2-3-1,Sadek Selmi,Match Report,
2021-09-07,17:00 (12:00),WCQ,Second round,Tue,Away,W,3,1,cg Congo,,,,,Kalidou Koulibaly,4-2-3-1,Mohamed Ali Moussa,Match Report,
2021-10-09,19:00 (15:00),WCQ,Second round,Sat,Home,W,4,1,na Namibia,,,,,Kalidou Koulibaly,4-2-3-1,Kalilou Traoré,Match Report,
2021-10-12,15:00 (09:00),WCQ,Second round,Tue,Away,W,3,1,na Namibia,,,,,Kalidou Koulibaly,4-2-3-1,Athoumani Mohamed,Match Report,
2021-11-11,19:00 (14:00),WCQ,Second round,Thu,Away,D,1,1,tg Togo,,,,,Kalidou Koulibaly,4-2-3-1,Jalal Jiyed,Match Report,
2021-11-14,19:00 (14:00),WCQ,Second round,Sun,Home,W,2,0,cg Congo,,,,,Kalidou Koulibaly,4-2-2-2,Fabrício Duarte,Match Report,
2022-01-10,14:00 (08:00),Africa Cup of Nations,Group stage,Mon,Neutral,W,1,0,zw Zimbabwe,,,61,,Idrissa Gana Gueye,4-1-4-1,Mario Escobar,Match Report,
2022-01-14,14:00 (08:00),Africa Cup of Nations,Group stage,Fri,Neutral,D,0,0,gn Guinea,,,49,,Sadio Mané,4-2-3-1,Bamlak Tessema,Match Report,
2022-01-18,17:00 (11:00),Africa Cup of Nations,Group stage,Tue,Neutral,D,0,0,mw Malawi,,,78,,Kalidou Koulibaly,4-1-4-1,Blaise Ngwa,Match Report,
2022-01-25,17:00 (11:00),Africa Cup of Nations,Round of 16,Tue,Neutral,W,2,0,cv Cape Verde,,,64,"10,155",Kalidou Koulibaly,4-1-4-1,Lahlou Benbraham,Match Report,
2022-01-30,20:00 (14:00),Africa Cup of Nations,Quarter-finals,Sun,Neutral,W,3,1,gq Equ. Guinea,,,44,"17,262",Kalidou Koulibaly,4-1-4-1,Victor Gomes,Match Report,
