Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee
2021-03-25,20:45 (15:45),WCQ,First round,Thu,Home,D,1,1,gr Greece,,,80,,Sergio Ramos,4-3-3,Marco Guida
2021-03-28,20:00 (12:00),WCQ,First round,Sun,Away,W,2,1,ge Georgia,,,79,,Sergio Busquets,4-3-3,Radu Petrescu
2021-03-31,20:45 (14:45),WCQ,First round,Wed,Home,W,3,1,xk Kosovo,,,81,,Sergio Busquets,4-3-3,Jakob Kehlet
2021-09-02,20:45 (14:45),WCQ,First round,Thu,Away,L,1,2,se Sweden,,,75,"16,901",Sergio Busquets,4-3-3,Anthony Taylor
2021-09-05,20:45 (14:45),WCQ,First round,Sun,Home,W,4,0,ge Georgia,,,75,"8,444",César Azpilicueta,4-3-3,Tiago Martins
2021-09-08,20:45 (14:45),WCQ,First round,Wed,Away,W,2,0,xk Kosovo,,,73,"1,200",Sergio Busquets,4-3-3,Bobby Madden
2021-11-11,21:45 (14:45),WCQ,First round,Thu,Away,W,1,0,gr Greece,,,73,"7,825",Koke,4-3-3,Szymon Marciniak
2021-11-14,20:45 (14:45),WCQ,First round,Sun,Home,W,1,0,se Sweden,,,72,"51,844",Sergio Busquets,4-3-3,Felix Brych
2022-03-26,19:45 (14:45),Friendlies (M),Friendlies (M),Sat,Neutral,W,2,1,al Albania,,,,,Álvaro Morata,4-3-3,Trustin Farrugia Cann
2022-03-29,20:45 (14:45),Friendlies (M),Friendlies (M),Tue,Neutral,W,5,0,is Iceland,,,,"34,600",Jordi Alba,4-3-3,Horațiu Fesnic
2022-06-02,20:45 (14:45),UEFA Nations League,League A,Thu,Home,D,1,1,pt Portugal,,,60,"41,236",Sergio Busquets,4-3-3,Michael Oliver
2022-06-05,20:45 (14:45),UEFA Nations League,League A,Sun,Away,D,2,2,cz Czech Republic,,,79,"18,245",Koke,4-3-3,François Letexier
2022-06-09,20:45 (14:45),UEFA Nations League,League A,Thu,Away,W,1,0,ch Switzerland,,,66,"25,875",Sergio Busquets,4-3-3,Serdar Gözübüyük
2022-06-12,20:45 (14:45),UEFA Nations League,League A,Sun,Home,W,2,0,cz Czech Republic,,,76,"30,389",Koke,4-3-3,Cüneyt Çakιr
2022-09-24,20:45 (14:45),UEFA Nations League,League A,Sat,Home,L,1,2,ch Switzerland,,,75,"31,089",Sergio Busquets,4-3-3,Clément Turpin
2022-09-27,19:45 (14:45),UEFA Nations League,League A,Tue,Away,W,1,0,pt Portugal,,,68,"28,196",Koke,4-3-3,Daniele Orsato
2022-11-23,19:00 (11:00),World Cup,Group stage,Wed,Neutral,W,7,0,cr Costa Rica,3.5,0.0,81,"40,013",Sergio Busquets,4-3-3,Mohammed Abdulla Hassan
2022-11-27,22:00 (14:00),World Cup,Group stage,Sun,Neutral,D,1,1,de Germany,0.6,1.3,64,"68,895",Sergio Busquets,4-3-3,Danny Makkelie
2022-12-01,22:00 (14:00),World Cup,Group stage,Thu,Neutral,L,1,2,jp Japan,1.0,1.4,82,"44,851",Sergio Busquets,4-3-3,Victor Gomes
2019-03-23,20:45 (15:45),UEFA Euro Qualifying,Group stage,Sat,Home,W,2,1,no Norway,,,75,"39,752",Sergio Ramos,4-3-3,Andris Treimanis
2019-03-26,20:45 (15:45),UEFA Euro Qualifying,Group stage,Tue,Away,W,2,0,mt Malta,,,84,"16,542",Sergio Ramos,4-3-3,Andrew Dallas
2019-06-07,19:45 (14:45),UEFA Euro Qualifying,Group stage,Fri,Away,W,4,1,fo Faroe Islands,,,77,"3,226",Sergio Ramos,4-3-3,Enea Jorgji
2019-06-10,20:45 (14:45),UEFA Euro Qualifying,Group stage,Mon,Home,W,3,0,se Sweden,,,74,"72,205",Sergio Ramos,4-3-3,William Collum
2019-09-05,21:45 (14:45),UEFA Euro Qualifying,Group stage,Thu,Away,W,2,1,ro Romania,,,74,"50,024",Sergio Ramos,4-3-3,Deniz Aytekin
2019-09-08,20:45 (14:45),UEFA Euro Qualifying,Group stage,Sun,Home,W,4,0,fo Faroe Islands,,,71,"23,644",Sergio Ramos,4-3-3,Krzysztof Jakubik
2019-10-12,20:45 (14:45),UEFA Euro Qualifying,Group stage,Sat,Away,D,1,1,no Norway,,,62,"25,200",Sergio Ramos,4-3-3,Michael Oliver
2019-10-15,20:45 (14:45),UEFA Euro Qualifying,Group stage,Tue,Away,D,1,1,se Sweden,,,75,"49,712",Raúl Albiol,4-4-2,Clément Turpin
2019-11-15,20:45 (14:45),UEFA Euro Qualifying,Group stage,Fri,Home,W,7,0,mt Malta,,,80,"19,773",Sergio Ramos,4-3-3,Viktor Kassai
2019-11-18,20:45 (14:45),UEFA Euro Qualifying,Group stage,Mon,Home,W,5,0,ro Romania,,,74,"36,198",Sergio Ramos,4-3-3,Aliaksei Kulbakou
2021-03-25,20:45 (15:45),WCQ,First round,Thu,Home,D,1,1,gr Greece,,,80,,Sergio Ramos,4-3-3,Marco Guida
2021-03-28,20:00 (12:00),WCQ,First round,Sun,Away,W,2,1,ge Georgia,,,79,,Sergio Busquets,4-3-3,Radu Petrescu
2021-03-31,20:45 (14:45),WCQ,First round,Wed,Home,W,3,1,xk Kosovo,,,81,,Sergio Busquets,4-3-3,Jakob Kehlet
2021-06-04,19:30 (13:30),Friendlies (M),Friendlies (M),Fri,Home,D,0,0,pt Portugal,,,,,Sergio Busquets,4-1-4-1,Craig Pawson
2021-06-08,20:45 (14:45),Friendlies (M),Friendlies (M),Tue,Home,W,4,0,lt Lithuania,,,,,Marc Cucurella,4-1-4-1,Willy Delajod
2021-06-14,21:00 (15:00),UEFA Euro,Group stage,Mon,Neutral,D,0,0,se Sweden,2.3,1.2,84,"10,559",Jordi Alba,4-3-3,Slavko Vinčič
2021-06-19,21:00 (15:00),UEFA Euro,Group stage,Sat,Neutral,D,1,1,pl Poland,2.9,1.3,76,"11,742",Jordi Alba,4-3-3,Daniele Orsato
2021-06-23,18:00 (12:00),UEFA Euro,Group stage,Wed,Neutral,W,5,0,sk Slovakia,3.4,0.1,65,"11,204",Sergio Busquets,4-3-3,Björn Kuipers
2021-06-28,18:00 (12:00),UEFA Euro,Round of 16,Mon,Neutral,W,5,3,hr Croatia,3.6,3.2,66,"22,771",Sergio Busquets,4-3-3,Cüneyt Çakιr
2021-07-02,19:00 (12:00),UEFA Euro,Quarter-finals,Fri,Away,D,1 (3),1 (1),ch Switzerland,2.9,0.8,72,"24,764",Sergio Busquets,4-3-3,Michael Oliver
2021-07-06,20:00 (15:00),UEFA Euro,Semi-finals,Tue,Away,D,1 (2),1 (4),it Italy,1.5,0.8,69,"57,811",Sergio Busquets,4-3-3,Felix Brych
2021-09-02,20:45 (14:45),WCQ,First round,Thu,Away,L,1,2,se Sweden,,,75,"16,901",Sergio Busquets,4-3-3,Anthony Taylor
2021-09-05,20:45 (14:45),WCQ,First round,Sun,Home,W,4,0,ge Georgia,,,75,"8,444",César Azpilicueta,4-3-3,Tiago Martins
2021-09-08,20:45 (14:45),WCQ,First round,Wed,Away,W,2,0,xk Kosovo,,,73,"1,200",Sergio Busquets,4-3-3,Bobby Madden
2021-10-06,20:45 (14:45),UEFA Nations League,Semi-finals,Wed,Neutral,W,2,1,it Italy,,,75,"33,524",Sergio Busquets,4-3-3,Sergey Karasev
2021-10-10,20:45 (14:45),UEFA Nations League,Final,Sun,Neutral,L,1,2,fr France,,,64,"31,511",Sergio Busquets,4-3-3,Anthony Taylor
2021-11-11,21:45 (14:45),WCQ,First round,Thu,Away,W,1,0,gr Greece,,,73,"7,825",Koke,4-3-3,Szymon Marciniak
2021-11-14,20:45 (14:45),WCQ,First round,Sun,Home,W,1,0,se Sweden,,,72,"51,844",Sergio Busquets,4-3-3,Felix Brych
2020-09-03,20:45 (14:45),UEFA Nations League,League A,Thu,Away,D,1,1,de Germany,,,59,,Sergio Ramos,4-3-3,Daniele Orsato
2020-09-06,20:45 (14:45),UEFA Nations League,League A,Sun,Home,W,4,0,ua Ukraine,,,70,,Sergio Ramos,4-4-2,Benoît Bastien
2020-10-07,19:45 (14:45),Friendlies (M),Friendlies (M),Wed,Away,D,0,0,pt Portugal,,,,,Sergio Busquets,4-3-3,Paolo Valeri
