Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee
2016-09-06,20:45 (14:45),WCQ,First round,Tue,Home,W,2,0,pt Portugal,,,,"36,000",Stephan Lichtsteiner,4-2-3-1,Antonio Matéu Lahoz
2016-10-07,20:45 (14:45),WCQ,First round,Fri,Away,W,3,2,hu Hungary,,,,"21,668",Stephan Lichtsteiner,4-4-1-1,Björn Kuipers
2016-10-10,20:45 (14:45),WCQ,First round,Mon,Away,W,2,1,ad Andorra,,,,"2,014",Granit Xhaka,4-4-1-1,John Beaton
2016-11-13,18:00 (12:00),WCQ,First round,Sun,Home,W,2,0,fo Faroe Islands,,,,"14,800",Stephan Lichtsteiner,4-1-4-1,Sébastien Delferière
2017-03-25,18:00 (13:00),WCQ,First round,Sat,Home,W,1,0,lv Latvia,,,,"25,000",Stephan Lichtsteiner,4-4-1-1,Vladislav Bezborodov
2017-06-09,19:45 (14:45),WCQ,First round,Fri,Away,W,2,0,fo Faroe Islands,,,,"4,594",Stephan Lichtsteiner,4-2-3-1,Luca Banti
2017-08-31,20:45 (14:45),WCQ,First round,Thu,Home,W,3,0,ad Andorra,,,,"13,600",Stephan Lichtsteiner,4-2-3-1,Tore Hansen
2017-09-03,21:45 (14:45),WCQ,First round,Sun,Away,W,3,0,lv Latvia,,,,"7,587",Stephan Lichtsteiner,4-3-3,Serdar Gözübüyük
2017-10-07,20:45 (14:45),WCQ,First round,Sat,Home,W,5,2,hu Hungary,,,,"32,018",Stephan Lichtsteiner,4-2-3-1,Paolo Tagliavento
2017-10-10,19:45 (14:45),WCQ,First round,Tue,Away,L,0,2,pt Portugal,,,,"61,566",Stephan Lichtsteiner,4-2-3-1,Cüneyt Çakιr
2017-11-09,19:45 (14:45),WCQ,Second round,Thu,Away,W,1,0,nir Northern Ireland,,,,"18,269",Stephan Lichtsteiner,4-2-3-1,Ovidiu Hațegan
2017-11-12,18:00 (12:00),WCQ,Second round,Sun,Home,D,0,0,nir Northern Ireland,,,,"36,000",Stephan Lichtsteiner,4-2-3-1,Felix Brych
2018-03-23,20:00 (14:00),Friendlies (M),Friendlies (M),Fri,Away,W,1,0,gr Greece,,,,"5,487",Stephan Lichtsteiner,4-1-4-1,Hugo Miguel
2018-03-27,19:00 (13:00),Friendlies (M),Friendlies (M),Tue,Home,W,6,0,pa Panama,,,,"8,600",Granit Xhaka,4-2-3-1,Oliver Drachta
2018-06-03,21:00 (15:00),Friendlies (M),Friendlies (M),Sun,Away,D,1,1,es Spain,,,,"18,350",Stephan Lichtsteiner,4-2-3-1,István Kovács
2018-06-08,19:00 (13:00),Friendlies (M),Friendlies (M),Fri,Home,W,2,0,jp Japan,,,,"7,010",Stephan Lichtsteiner,4-2-3-1,Amaury Delerue
2018-06-17,21:00 (14:00),FIFA World Cup,Group stage,Sun,Neutral,D,1,1,br Brazil,0.9,2.2,46,"43,109",Stephan Lichtsteiner,4-2-3-1,César Ramos
2018-06-22,20:00 (14:00),FIFA World Cup,Group stage,Fri,Neutral,W,2,1,rs Serbia,2.1,1.5,62,"33,167",Stephan Lichtsteiner,4-2-3-1,Felix Brych
2018-06-27,21:00 (14:00),FIFA World Cup,Group stage,Wed,Neutral,D,2,2,cr Costa Rica,1.4,1.5,62,"43,319",Stephan Lichtsteiner,4-2-3-1,Clément Turpin
2018-07-03,17:00 (10:00),FIFA World Cup,Round of 16,Tue,Neutral,L,0,1,se Sweden,0.7,1.3,67,"64,042",Valon Behrami,4-2-3-1,Damir Skomina
2018-09-08,18:00 (12:00),UEFA Nations League,League A,Sat,Home,W,6,0,is Iceland,,,,"14,912",Granit Xhaka,4-2-3-1,Michael Oliver
2018-09-11,20:00 (15:00),Friendlies (M),Friendlies (M),Tue,Away,L,0,1,eng England,,,,"30,256",Stephan Lichtsteiner,3-5-1-1,Clément Turpin
2018-10-12,20:45 (14:45),UEFA Nations League,League A,Fri,Away,L,1,2,be Belgium,,,,"39,049",Granit Xhaka,4-4-1-1,Antonio Matéu Lahoz
2018-10-15,18:45 (14:45),UEFA Nations League,League A,Mon,Away,W,2,1,is Iceland,,,,"8,663",Granit Xhaka,4-2-3-1,Andreas Ekberg
2018-11-14,19:00 (13:00),Friendlies (M),Friendlies (M),Wed,Home,L,0,1,qa Qatar,,,,"4,170",Granit Xhaka,3-5-1-1,Kevin Blom
2018-11-18,20:45 (14:45),UEFA Nations League,League A,Sun,Home,W,5,2,be Belgium,,,,"15,000",Granit Xhaka,4-4-1-1,Daniele Orsato
