Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee
2021-09-02,20:00 (15:00),WCQ,Second round,Thu,Home,W,2,0,sd Sudan,,,,,Romain Saïss,4-2-3-1,Maguette Ndiaye
2021-10-06,20:00 (15:00),WCQ,Second round,Wed,Home,W,5,0,gw Guinea-Bissau,,,,,Romain Saïss,4-1-3-2,Boubou Traoré
2021-10-09,19:00 (15:00),WCQ,Second round,Sat,Away,W,3,0,gw Guinea-Bissau,,,,,Romain Saïss,4-1-3-2,Jean-Jacques Ndala
2021-10-12,20:00 (15:00),WCQ,Second round,Tue,Away,W,4,1,gn Guinea,,,,,Romain Saïss,4-1-3-2,Alioum
2021-11-12,21:00 (14:00),WCQ,Second round,Fri,Away,W,3,0,sd Sudan,,,,,Romain Saïss,4-1-4-1,Peter Waweru
2021-11-16,20:00 (14:00),WCQ,Second round,Tue,Home,W,3,0,gn Guinea,,,,,Yassine Bounou,4-1-3-2,Joshua Bondo
2022-01-10,17:00 (11:00),Africa Cup of Nations,Group stage,Mon,Neutral,W,1,0,gh Ghana,,,61,,Romain Saïss,4-1-4-1,Joshua Bondo
2022-01-14,17:00 (11:00),Africa Cup of Nations,Group stage,Fri,Neutral,W,2,0,km Comoros,,,59,,Romain Saïss,4-1-4-1,Sadek Selmi
2022-01-18,20:00 (14:00),Africa Cup of Nations,Group stage,Tue,Neutral,D,2,2,ga Gabon,,,62,,Fayçal Fajr,4-2-2-2,Dahane Beida
2022-01-25,20:00 (14:00),Africa Cup of Nations,Round of 16,Tue,Neutral,W,2,1,mw Malawi,,,75,,Romain Saïss,4-1-4-1,Pacifique Ndabihawenimana
2022-01-30,16:00 (10:00),Africa Cup of Nations,Quarter-finals,Sun,Neutral,L,1,2,eg Egypt,,,46,,Romain Saïss,4-1-3-2,Maguette Ndiaye
2022-03-25,16:00 (11:00),WCQ,Third round,Fri,Away,D,1,1,cd Congo DR,,,,,Romain Saïss,3-3-2-2,Victor Gomes
2022-03-29,19:30 (15:30),WCQ,Third round,Tue,Home,W,4,1,cd Congo DR,,,,,Romain Saïss,3-3-2-2,Pacifique Ndabihawenimana
2022-06-01,19:30,Friendlies (M),Friendlies (M),Wed,Neutral,L,0,3,us United States,,,,"19,512",Romain Saïss,4-4-2,Ismael Cornejo
2022-06-09,20:00 (15:00),Africa Cup of Nations qualification,Group stage,Thu,Home,W,2,1,za South Africa,,,,,Romain Saïss,4-1-3-2,Sadek Selmi
2022-06-13,20:00 (15:00),Africa Cup of Nations qualification,Group stage,Mon,Neutral,W,2,0,lr Liberia,,,,,Romain Saïss,4-1-3-2,Mohamed Ali Moussa
2022-09-19,,Africa Cup of Nations qualification,Group stage,Mon,Home,,,,zw Zimbabwe,,,,,,,
2022-09-23,20:00 (15:00),Friendlies (M),Friendlies (M),Fri,Neutral,W,2,0,cl Chile,,,,,Romain Saïss,4-1-4-1,Martin Dohál
2022-09-27,,Africa Cup of Nations qualification,Group stage,Tue,Away,,,,zw Zimbabwe,,,,,,,
2022-09-27,21:00 (15:00),Friendlies (M),Friendlies (M),Tue,Neutral,D,0,0,py Paraguay,,,,,Romain Saïss,4-1-4-1,Jesús Gil
2022-11-17,20:00 (11:00),Friendlies (M),Friendlies (M),Thu,Neutral,W,3,0,ge Georgia,,,,"10,000",Romain Saïss,4-1-4-1,Adel Ali Al Naqbi
2022-11-23,13:00 (05:00),World Cup,Group stage,Wed,Neutral,D,0,0,hr Croatia,0.4,0.5,36,"59,407",Romain Saïss,4-3-3,Fernando Rapallini
2022-11-27,16:00 (08:00),World Cup,Group stage,Sun,Neutral,W,2,0,be Belgium,1.5,1.0,33,"43,738",Romain Saïss,4-3-3,César Arturo Ramos
2022-12-01,18:00 (10:00),World Cup,Group stage,Thu,Neutral,W,2,1,ca Canada,0.5,1.4,42,"43,102",Romain Saïss,4-3-3,Raphael Claus
2019-11-15,20:00 (14:00),Africa Cup of Nations qualification,Group stage,Fri,Home,D,0,0,mr Mauritania,,,,,Hakim Ziyech,4-2-3-1,Louis Hakizimana
2019-11-19,15:00 (08:00),Africa Cup of Nations qualification,Group stage,Tue,Away,W,3,0,bi Burundi,,,,,Romain Saïss,4-2-2-2,Maguette Ndiaye
2020-11-13,20:00 (14:00),Africa Cup of Nations qualification,Group stage,Fri,Home,W,4,1,cf CAR,,,,,Romain Saïss,4-2-3-1,Boubou Traoré
2020-11-17,17:00 (11:00),Africa Cup of Nations qualification,Group stage,Tue,Away,W,2,0,cf CAR,,,,,Romain Saïss,4-1-4-1,Eric Otogo-Castane
2021-03-26,19:00 (15:00),Africa Cup of Nations qualification,Group stage,Fri,Away,D,0,0,mr Mauritania,,,,,Romain Saïss,4-2-3-1,Joshua Bondo
2021-03-30,20:00 (15:00),Africa Cup of Nations qualification,Group stage,Tue,Home,W,1,0,bi Burundi,,,,,Romain Saïss,3-4-3,Blaise Ngwa
2021-06-08,20:00 (15:00),Friendlies (M),Friendlies (M),Tue,Home,W,1,0,gh Ghana,,,,,Romain Saïss,3-5-2,Adalbert Diouf
2021-06-12,20:00 (15:00),Friendlies (M),Friendlies (M),Sat,Home,W,1,0,bf Burkina Faso,,,,,Romain Saïss,4-1-4-1,Abdel Aziz Mohamed Bouh
2021-09-02,20:00 (15:00),WCQ,Second round,Thu,Home,W,2,0,sd Sudan,,,,,Romain Saïss,4-2-3-1,Maguette Ndiaye
2021-10-06,20:00 (15:00),WCQ,Second round,Wed,Home,W,5,0,gw Guinea-Bissau,,,,,Romain Saïss,4-1-3-2,Boubou Traoré
2021-10-09,19:00 (15:00),WCQ,Second round,Sat,Away,W,3,0,gw Guinea-Bissau,,,,,Romain Saïss,4-1-3-2,Jean-Jacques Ndala
2021-10-12,20:00 (15:00),WCQ,Second round,Tue,Away,W,4,1,gn Guinea,,,,,Romain Saïss,4-1-3-2,Alioum
2021-11-12,21:00 (14:00),WCQ,Second round,Fri,Away,W,3,0,sd Sudan,,,,,Romain Saïss,4-1-4-1,Peter Waweru
2021-11-16,20:00 (14:00),WCQ,Second round,Tue,Home,W,3,0,gn Guinea,,,,,Yassine Bounou,4-1-3-2,Joshua Bondo
2022-01-10,17:00 (11:00),Africa Cup of Nations,Group stage,Mon,Neutral,W,1,0,gh Ghana,,,61,,Romain Saïss,4-1-4-1,Joshua Bondo
2022-01-14,17:00 (11:00),Africa Cup of Nations,Group stage,Fri,Neutral,W,2,0,km Comoros,,,59,,Romain Saïss,4-1-4-1,Sadek Selmi
2022-01-18,20:00 (14:00),Africa Cup of Nations,Group stage,Tue,Neutral,D,2,2,ga Gabon,,,62,,Fayçal Fajr,4-2-2-2,Dahane Beida
2022-01-25,20:00 (14:00),Africa Cup of Nations,Round of 16,Tue,Neutral,W,2,1,mw Malawi,,,75,,Romain Saïss,4-1-4-1,Pacifique Ndabihawenimana
2022-01-30,16:00 (10:00),Africa Cup of Nations,Quarter-finals,Sun,Neutral,L,1,2,eg Egypt,,,46,,Romain Saïss,4-1-3-2,Maguette Ndiaye
2020-10-09,19:00 (14:00),Friendlies (M),Friendlies (M),Fri,Home,W,3,1,sn Senegal,,,,,Romain Saïss,4-2-3-1,Mahamadou Keita
2020-10-13,19:00 (14:00),Friendlies (M),Friendlies (M),Tue,Home,D,1,1,cd Congo DR,,,,,Yunis Abdelhamid,3-4-3,Alioune Sow Sandigui
2020-11-13,20:00 (14:00),Africa Cup of Nations qualification,Group stage,Fri,Home,W,4,1,cf CAR,,,,,Romain Saïss,4-2-3-1,Boubou Traoré
2020-11-17,17:00 (11:00),Africa Cup of Nations qualification,Group stage,Tue,Away,W,2,0,cf CAR,,,,,Romain Saïss,4-1-4-1,Eric Otogo-Castane
2017-06-10,15:00 (10:00),Africa Cup of Nations qualification,Group stage,Sat,Away,L,0,1,cm Cameroon,,,,"20,000",M'barek Boussoufa,4-1-4-1,Bamlak Tessema
2018-09-08,21:00 (16:00),Africa Cup of Nations qualification,Group stage,Sat,Home,W,3,0,mw Malawi,,,,,Karim El Ahmadi,4-1-4-1,Jean-Jacques Ndala
2018-10-13,19:00 (14:00),Africa Cup of Nations qualification,Group stage,Sat,Home,W,1,0,km Comoros,,,,,M'barek Boussoufa,4-2-3-1,Bouchaab Lemghaifry
2018-10-16,15:00 (08:00),Africa Cup of Nations qualification,Group stage,Tue,Away,D,2,2,km Comoros,,,,,Karim El Ahmadi,4-2-3-1,Davies Omweno
2018-11-16,20:00 (14:00),Africa Cup of Nations qualification,Group stage,Fri,Home,W,2,0,cm Cameroon,,,,,Medhi Benatia,4-2-3-1,Eric Otogo-Castane
2019-03-22,15:00 (09:00),Africa Cup of Nations qualification,Group stage,Fri,Away,D,0,0,mw Malawi,,,,,,4-2-3-1,Hélder Martins
2019-03-26,20:00 (15:00),Friendlies (M),Friendlies (M),Tue,Home,L,0,1,ar Argentina,,,,"35,000",Medhi Benatia,3-4-3,Janny Sikazwe
2019-06-16,17:30 (12:30),Friendlies (M),Friendlies (M),Sun,Home,L,2,3,zm Zambia,,,,,Medhi Benatia,4-2-3-1,Adalbert Diouf
2019-06-23,16:30 (10:30),Africa Cup of Nations,Group stage,Sun,Neutral,W,1,0,na Namibia,,,67,,Medhi Benatia,4-2-3-1,Louis Hakizimana
2019-06-28,19:00 (13:00),Africa Cup of Nations,Group stage,Fri,Neutral,W,1,0,ci Côte d'Ivoire,,,52,,Medhi Benatia,4-2-3-1,Alioum Alioum
2019-07-01,18:00 (12:00),Africa Cup of Nations,Group stage,Mon,Neutral,W,1,0,za South Africa,,,59,,M'barek Boussoufa,4-2-3-1,Jean-Jacques Ndala
2019-07-05,18:00 (12:00),Africa Cup of Nations,Round of 16,Fri,Neutral,D,1 (1),1 (4),bj Benin,,,67,,M'barek Boussoufa,4-2-3-1,Hélder Martins
2019-09-06,20:00 (15:00),Friendlies (M),Friendlies (M),Fri,Home,D,1,1,bf Burkina Faso,,,,,Nabil Dirar,4-2-3-1,Alioum Alioum
2019-09-10,20:00 (15:00),Friendlies (M),Friendlies (M),Tue,Home,W,1,0,ne Niger,,,,,Adel Taarabt,4-2-3-1,Hélder Martins
2019-10-11,19:00 (14:00),Friendlies (M),Friendlies (M),Fri,Home,D,1,1,ly Libya,,,,,Yunis Abdelhamid,4-2-3-1,Jean-Jacques Ndala
2019-10-15,20:00 (15:00),Friendlies (M),Friendlies (M),Tue,Home,L,2,3,ga Gabon,,,,,Nordin Amrabat,4-1-4-1,Issa Sy
